,,,1.585,BCC,bcc-csm1-1
,,,1.488,BCC,bcc-csm1-1-m
,,,1.396,BNU,BNU-ESM
,,,1.552,CCCma,CanESM2
,,,1.564,CMCC,CMCC-CMS
,,,1.392,CNRM-CERFACS,CNRM-CM5
,,,1.682,CSIRO-BOM,ACCESS1-0
,,,1.444,CSIRO-BOM,ACCESS1-3
,,,1.513,CSIRO-QCCCE,CSIRO-Mk3-6-0
,,,1.624,INM,inmcm4
,,,1.448,IPSL,IPSL-CM5A-LR
,,,1.431,IPSL,IPSL-CM5A-MR
,,,1.491,IPSL,IPSL-CM5B-LR
,,,1.657,MIROC,MIROC5
,,,1.473,MIROC,MIROC-ESM
,,,1.444,MIROC,MIROC-ESM-CHEM
,,,1.584,MOHC,HadGEM2-CC
,,,1.567,MOHC,HadGEM2-ES
,,,1.666,MPI-M,MPI-ESM-LR
,,,1.614,MPI-M,MPI-ESM-MR
,,,1.568,MRI,MRI-CGCM3
,,,1.586,NASA-GISS,GISS-E2-H
,,,1.431,NASA-GISS,GISS-E2-H-CC
,,,1.568,NASA-GISS,GISS-E2-R
,,,1.612,NASA-GISS,GISS-E2-R-CC
,,,1.421,NCAR,CCSM4
,,,1.608,NCC,NorESM1-M
,,,1.589,NCC,NorESM1-ME
,,,1.623,NOAA-GFDL,GFDL-CM3
,,,1.575,NOAA-GFDL,GFDL-ESM2G
,,,1.594,NOAA-GFDL,GFDL-ESM2M
,,,1.420,NSF-DOE-NCAR,CESM1-BGC
,,,1.467,NSF-DOE-NCAR,CESM1-CAM5
,,,1.430,NSF-DOE-NCAR,CESM1-WACCM
